medicineId,soldMedicineTimes,month
5128,1,2017-01
5151,1,2017-01
5156,1,2017-01
5180,1,2017-01
5185,1,2017-01
5198,1,2017-01
5206,1,2017-01
5208,1,2017-01
5211,2,2017-01
5213,1,2017-01
5219,1,2017-01
5236,1,2017-01
5250,1,2017-01
5254,1,2017-01
5262,1,2017-01
5280,1,2017-01
11,1,2017-02
26,1,2017-02
31,1,2017-02
41,1,2017-02
53,1,2017-02
72,1,2017-02
74,1,2017-02
77,1,2017-02
92,1,2017-02
103,1,2017-02
106,1,2017-02
141,1,2017-02
148,1,2017-02
157,1,2017-02
168,1,2017-02
170,1,2017-02
173,1,2017-02
177,1,2017-02
187,1,2017-02
204,1,2017-02
241,1,2017-02
244,1,2017-02
245,1,2017-02
248,1,2017-02
266,1,2017-02
288,1,2017-02
291,1,2017-02
292,2,2017-02
306,1,2017-02
314,1,2017-02
321,1,2017-02
323,1,2017-02
327,1,2017-02
339,1,2017-02
376,1,2017-02
380,1,2017-02
391,1,2017-02
394,1,2017-02
404,1,2017-02
424,1,2017-02
428,1,2017-02
431,1,2017-02
442,1,2017-02
458,1,2017-02
467,1,2017-02
485,1,2017-02
511,1,2017-02
531,1,2017-02
537,1,2017-02
553,1,2017-02
569,1,2017-02
574,1,2017-02
577,1,2017-02
581,1,2017-02
590,1,2017-02
607,1,2017-02
627,1,2017-02
631,1,2017-02
636,1,2017-02
645,1,2017-02
662,1,2017-02
664,1,2017-02
667,1,2017-02
671,1,2017-02
699,1,2017-02
700,1,2017-02
712,1,2017-02
720,1,2017-02
725,1,2017-02
727,1,2017-02
732,1,2017-02
733,1,2017-02
736,1,2017-02
738,1,2017-02
758,1,2017-02
788,1,2017-02
833,1,2017-02
840,1,2017-02
856,1,2017-02
920,1,2017-02
924,2,2017-02
935,1,2017-02
937,1,2017-02
949,1,2017-02
968,1,2017-02
973,1,2017-02
999,1,2017-02
1000,1,2017-02
1012,1,2017-02
1029,1,2017-02
1050,1,2017-02
1068,1,2017-02
1087,1,2017-02
1109,1,2017-02
1144,1,2017-02
1163,1,2017-02
1202,1,2017-02
1203,1,2017-02
1227,1,2017-02
1228,1,2017-02
1249,1,2017-02
1254,1,2017-02
1263,1,2017-02
1266,1,2017-02
1271,2,2017-02
1284,1,2017-02
1298,1,2017-02
1301,1,2017-02
1304,1,2017-02
1314,1,2017-02
1324,1,2017-02
1335,1,2017-02
1337,1,2017-02
1348,1,2017-02
1350,1,2017-02
1364,1,2017-02
1387,1,2017-02
1388,1,2017-02
1392,1,2017-02
1394,1,2017-02
1420,1,2017-02
1421,1,2017-02
1433,1,2017-02
1454,1,2017-02
1495,1,2017-02
1502,1,2017-02
1507,1,2017-02
1514,1,2017-02
1515,1,2017-02
1525,1,2017-02
1544,1,2017-02
1557,1,2017-02
1582,1,2017-02
1589,1,2017-02
1595,1,2017-02
1610,1,2017-02
1634,1,2017-02
1637,1,2017-02
1645,1,2017-02
1648,1,2017-02
1650,1,2017-02
1659,1,2017-02
1667,1,2017-02
1679,1,2017-02
1689,2,2017-02
1706,1,2017-02
1727,1,2017-02
1738,1,2017-02
1752,1,2017-02
1758,1,2017-02
1761,1,2017-02
1773,1,2017-02
1779,1,2017-02
1788,1,2017-02
1789,1,2017-02
1794,1,2017-02
1795,1,2017-02
1800,1,2017-02
1810,1,2017-02
1826,1,2017-02
1833,2,2017-02
1839,1,2017-02
1845,1,2017-02
1868,1,2017-02
1874,2,2017-02
1879,1,2017-02
1886,1,2017-02
1917,1,2017-02
1923,1,2017-02
1930,1,2017-02
1948,1,2017-02
1949,1,2017-02
1962,1,2017-02
1968,1,2017-02
1977,1,2017-02
1980,1,2017-02
2000,1,2017-02
2006,1,2017-02
2007,1,2017-02
2022,1,2017-02
2029,1,2017-02
2050,1,2017-02
2051,1,2017-02
2055,1,2017-02
2056,1,2017-02
2085,1,2017-02
2112,1,2017-02
2142,1,2017-02
2172,1,2017-02
2202,1,2017-02
2228,1,2017-02
2245,1,2017-02
2247,1,2017-02
2249,1,2017-02
2261,1,2017-02
2266,1,2017-02
2280,1,2017-02
2308,1,2017-02
2322,1,2017-02
2341,1,2017-02
2342,1,2017-02
2344,2,2017-02
2358,1,2017-02
2362,1,2017-02
2383,1,2017-02
2394,1,2017-02
2402,1,2017-02
2408,1,2017-02
2411,1,2017-02
2424,1,2017-02
2437,1,2017-02
2444,1,2017-02
2485,1,2017-02
2495,1,2017-02
2500,1,2017-02
2510,1,2017-02
2543,1,2017-02
2551,1,2017-02
2558,1,2017-02
2576,1,2017-02
2577,1,2017-02
2578,1,2017-02
2582,1,2017-02
2600,1,2017-02
2602,1,2017-02
2616,1,2017-02
2629,1,2017-02
2631,1,2017-02
2642,1,2017-02
2644,1,2017-02
2671,1,2017-02
2677,1,2017-02
2683,1,2017-02
2713,1,2017-02
2722,1,2017-02
2796,1,2017-02
2798,1,2017-02
2808,1,2017-02
2817,1,2017-02
2820,1,2017-02
2831,1,2017-02
2848,1,2017-02
2858,1,2017-02
2862,1,2017-02
2863,1,2017-02
2888,1,2017-02
2890,1,2017-02
2953,1,2017-02
2971,1,2017-02
2977,1,2017-02
2978,1,2017-02
2985,1,2017-02
3029,1,2017-02
3031,1,2017-02
3032,1,2017-02
3034,1,2017-02
3035,1,2017-02
3042,1,2017-02
3069,1,2017-02
3105,1,2017-02
3111,1,2017-02
3122,1,2017-02
3128,1,2017-02
3139,1,2017-02
3155,1,2017-02
3171,2,2017-02
3189,1,2017-02
3209,1,2017-02
3219,1,2017-02
3233,1,2017-02
3235,1,2017-02
3262,1,2017-02
3274,1,2017-02
3306,1,2017-02
3311,1,2017-02
3319,1,2017-02
3325,1,2017-02
3343,1,2017-02
3346,1,2017-02
3348,1,2017-02
3364,1,2017-02
3370,1,2017-02
3409,1,2017-02
3427,1,2017-02
3432,1,2017-02
3444,1,2017-02
3449,1,2017-02
3452,1,2017-02
3458,1,2017-02
3463,1,2017-02
3480,1,2017-02
3484,1,2017-02
3487,1,2017-02
3490,1,2017-02
3497,1,2017-02
3505,1,2017-02
3518,1,2017-02
3521,1,2017-02
3525,1,2017-02
3528,1,2017-02
3529,1,2017-02
3552,1,2017-02
3556,1,2017-02
3593,1,2017-02
3599,1,2017-02
3605,1,2017-02
3637,1,2017-02
3663,1,2017-02
3672,1,2017-02
3713,1,2017-02
3736,1,2017-02
3750,1,2017-02
3751,1,2017-02
3761,1,2017-02
3763,1,2017-02
3764,1,2017-02
3766,1,2017-02
3779,1,2017-02
3780,1,2017-02
3786,1,2017-02
3815,1,2017-02
3822,1,2017-02
3831,2,2017-02
3839,1,2017-02
3850,1,2017-02
3878,1,2017-02
3881,1,2017-02
3893,2,2017-02
3917,1,2017-02
3925,1,2017-02
3928,1,2017-02
3935,1,2017-02
3936,1,2017-02
3944,1,2017-02
3952,1,2017-02
3955,2,2017-02
3964,1,2017-02
3981,1,2017-02
3983,1,2017-02
3995,1,2017-02
4011,1,2017-02
4017,1,2017-02
4026,1,2017-02
4038,1,2017-02
4047,1,2017-02
4054,2,2017-02
4082,1,2017-02
4098,1,2017-02
4100,1,2017-02
4124,1,2017-02
4137,1,2017-02
4140,1,2017-02
4143,1,2017-02
4154,1,2017-02
4158,1,2017-02
4159,1,2017-02
4182,1,2017-02
4186,1,2017-02
4193,1,2017-02
4214,1,2017-02
4227,2,2017-02
4242,1,2017-02
4244,1,2017-02
4263,1,2017-02
4306,1,2017-02
4307,1,2017-02
4312,1,2017-02
4316,1,2017-02
4318,1,2017-02
4332,1,2017-02
4334,1,2017-02
4354,1,2017-02
4373,1,2017-02
4380,1,2017-02
4388,1,2017-02
4415,1,2017-02
4417,1,2017-02
4433,1,2017-02
4434,1,2017-02
4435,1,2017-02
4436,1,2017-02
4471,1,2017-02
4475,1,2017-02
4501,1,2017-02
4521,1,2017-02
4528,1,2017-02
4529,1,2017-02
4545,1,2017-02
4570,1,2017-02
4578,1,2017-02
4587,1,2017-02
4588,1,2017-02
4591,1,2017-02
4594,1,2017-02
4603,1,2017-02
4616,1,2017-02
4630,1,2017-02
4642,1,2017-02
4662,1,2017-02
4668,1,2017-02
4675,1,2017-02
4681,1,2017-02
4705,1,2017-02
4730,1,2017-02
4752,1,2017-02
4753,1,2017-02
4758,1,2017-02
4766,1,2017-02
4787,1,2017-02
4791,1,2017-02
4795,1,2017-02
4807,1,2017-02
4814,2,2017-02
4827,1,2017-02
4830,1,2017-02
4837,1,2017-02
4839,2,2017-02
4841,1,2017-02
4845,1,2017-02
4850,1,2017-02
4861,1,2017-02
4867,1,2017-02
4885,1,2017-02
4890,1,2017-02
4894,1,2017-02
4902,1,2017-02
4905,1,2017-02
4913,1,2017-02
4925,1,2017-02
4931,1,2017-02
4960,1,2017-02
4995,1,2017-02
5009,1,2017-02
5010,1,2017-02
5024,1,2017-02
5031,1,2017-02
5037,1,2017-02
5061,1,2017-02
5064,1,2017-02
5085,2,2017-02
5086,1,2017-02
5093,1,2017-02
5139,1,2017-02
5140,1,2017-02
5152,1,2017-02
5155,1,2017-02
5163,2,2017-02
5164,1,2017-02
5182,1,2017-02
5199,1,2017-02
5207,1,2017-02
5225,1,2017-02
5226,1,2017-02
5229,1,2017-02
5233,1,2017-02
5248,1,2017-02
5263,1,2017-02
3,1,2017-03
14,1,2017-03
56,1,2017-03
66,1,2017-03
85,1,2017-03
86,1,2017-03
97,1,2017-03
125,1,2017-03
129,1,2017-03
135,1,2017-03
136,1,2017-03
153,1,2017-03
156,1,2017-03
170,1,2017-03
195,1,2017-03
209,1,2017-03
246,1,2017-03
254,1,2017-03
266,1,2017-03
272,1,2017-03
276,1,2017-03
282,1,2017-03
287,1,2017-03
289,1,2017-03
297,1,2017-03
301,1,2017-03
304,1,2017-03
307,1,2017-03
327,1,2017-03
350,1,2017-03
357,1,2017-03
360,1,2017-03
370,3,2017-03
377,2,2017-03
382,2,2017-03
389,1,2017-03
409,1,2017-03
418,1,2017-03
425,1,2017-03
433,1,2017-03
436,1,2017-03
441,1,2017-03
452,1,2017-03
453,1,2017-03
463,1,2017-03
467,1,2017-03
470,1,2017-03
475,1,2017-03
490,1,2017-03
499,1,2017-03
507,1,2017-03
514,1,2017-03
516,1,2017-03
519,1,2017-03
524,1,2017-03
531,1,2017-03
534,1,2017-03
548,1,2017-03
551,1,2017-03
608,1,2017-03
633,1,2017-03
634,1,2017-03
635,1,2017-03
650,1,2017-03
651,1,2017-03
654,1,2017-03
659,1,2017-03
670,1,2017-03
706,1,2017-03
707,1,2017-03
714,1,2017-03
718,1,2017-03
724,1,2017-03
743,1,2017-03
746,1,2017-03
755,1,2017-03
764,1,2017-03
769,1,2017-03
773,1,2017-03
785,1,2017-03
786,1,2017-03
801,1,2017-03
816,1,2017-03
823,1,2017-03
829,1,2017-03
851,1,2017-03
862,1,2017-03
866,1,2017-03
872,1,2017-03
896,1,2017-03
897,1,2017-03
899,1,2017-03
963,1,2017-03
966,1,2017-03
976,1,2017-03
988,1,2017-03
991,1,2017-03
1008,1,2017-03
1009,1,2017-03
1031,1,2017-03
1033,1,2017-03
1047,1,2017-03
1055,1,2017-03
1056,1,2017-03
1061,1,2017-03
1071,1,2017-03
1072,1,2017-03
1075,1,2017-03
1091,1,2017-03
1108,1,2017-03
1115,1,2017-03
1117,1,2017-03
1146,1,2017-03
1160,1,2017-03
1170,1,2017-03
1175,1,2017-03
1189,1,2017-03
1194,1,2017-03
1250,1,2017-03
1283,1,2017-03
1287,1,2017-03
1294,1,2017-03
1296,1,2017-03
1340,1,2017-03
1350,1,2017-03
1356,1,2017-03
1358,1,2017-03
1368,1,2017-03
1370,1,2017-03
1372,1,2017-03
1380,1,2017-03
1384,1,2017-03
1435,1,2017-03
1437,1,2017-03
1456,1,2017-03
1468,2,2017-03
1470,1,2017-03
1499,1,2017-03
1500,1,2017-03
1501,1,2017-03
1522,1,2017-03
1523,1,2017-03
1543,1,2017-03
1551,1,2017-03
1563,1,2017-03
1567,1,2017-03
1599,1,2017-03
1601,1,2017-03
1618,1,2017-03
1622,1,2017-03
1638,1,2017-03
1647,1,2017-03
1653,1,2017-03
1680,1,2017-03
1687,1,2017-03
1691,1,2017-03
1709,1,2017-03
1718,1,2017-03
1736,1,2017-03
1737,1,2017-03
1739,1,2017-03
1749,1,2017-03
1755,1,2017-03
1756,1,2017-03
1810,1,2017-03
1828,1,2017-03
1858,1,2017-03
1864,1,2017-03
1866,1,2017-03
1888,1,2017-03
1892,1,2017-03
1905,2,2017-03
1910,1,2017-03
1918,1,2017-03
1920,2,2017-03
1927,1,2017-03
1934,1,2017-03
1941,1,2017-03
1950,1,2017-03
1984,1,2017-03
1986,2,2017-03
1994,1,2017-03
2009,1,2017-03
2016,1,2017-03
2023,1,2017-03
2026,1,2017-03
2028,1,2017-03
2050,1,2017-03
2058,1,2017-03
2065,1,2017-03
2072,1,2017-03
2097,1,2017-03
2113,1,2017-03
2119,1,2017-03
2141,1,2017-03
2160,1,2017-03
2163,1,2017-03
2179,1,2017-03
2191,1,2017-03
2204,1,2017-03
2205,1,2017-03
2223,1,2017-03
2224,1,2017-03
2233,1,2017-03
2238,1,2017-03
2249,1,2017-03
2263,1,2017-03
2265,1,2017-03
2273,1,2017-03
2296,1,2017-03
2324,1,2017-03
2350,1,2017-03
2352,1,2017-03
2354,1,2017-03
2356,1,2017-03
2367,1,2017-03
2383,1,2017-03
2389,1,2017-03
2396,1,2017-03
2409,1,2017-03
2410,2,2017-03
2415,1,2017-03
2425,1,2017-03
2437,1,2017-03
2444,1,2017-03
2454,1,2017-03
2457,1,2017-03
2464,1,2017-03
2501,1,2017-03
2507,1,2017-03
2509,1,2017-03
2512,2,2017-03
2544,1,2017-03
2547,1,2017-03
2560,1,2017-03
2580,1,2017-03
2622,1,2017-03
2632,1,2017-03
2638,1,2017-03
2644,1,2017-03
2651,2,2017-03
2654,1,2017-03
2667,1,2017-03
2671,1,2017-03
2681,1,2017-03
2702,1,2017-03
2719,1,2017-03
2722,1,2017-03
2729,1,2017-03
2734,1,2017-03
2738,1,2017-03
2777,1,2017-03
2779,1,2017-03
2801,2,2017-03
2812,1,2017-03
2842,1,2017-03
2847,1,2017-03
2867,1,2017-03
2869,1,2017-03
2874,1,2017-03
2881,1,2017-03
2883,1,2017-03
2894,1,2017-03
2895,2,2017-03
2915,1,2017-03
2919,1,2017-03
2931,1,2017-03
2942,1,2017-03
2943,2,2017-03
2944,2,2017-03
2970,1,2017-03
2973,1,2017-03
2974,1,2017-03
2983,1,2017-03
2986,1,2017-03
2997,1,2017-03
3011,1,2017-03
3017,1,2017-03
3028,1,2017-03
3032,1,2017-03
3034,1,2017-03
3042,1,2017-03
3043,1,2017-03
3082,1,2017-03
3085,1,2017-03
3117,1,2017-03
3122,1,2017-03
3130,2,2017-03
3138,1,2017-03
3144,1,2017-03
3149,1,2017-03
3165,1,2017-03
3193,1,2017-03
3195,1,2017-03
3198,1,2017-03
3202,1,2017-03
3208,1,2017-03
3218,1,2017-03
3227,1,2017-03
3254,1,2017-03
3258,1,2017-03
3261,2,2017-03
3267,1,2017-03
3272,1,2017-03
3273,1,2017-03
3288,1,2017-03
3299,1,2017-03
3302,1,2017-03
3325,1,2017-03
3327,1,2017-03
3330,2,2017-03
3379,1,2017-03
3390,1,2017-03
3394,1,2017-03
3404,1,2017-03
3411,1,2017-03
3421,1,2017-03
3438,1,2017-03
3450,1,2017-03
3456,1,2017-03
3483,1,2017-03
3487,1,2017-03
3489,1,2017-03
3495,1,2017-03
3501,1,2017-03
3502,1,2017-03
3506,1,2017-03
3514,1,2017-03
3519,1,2017-03
3524,1,2017-03
3542,1,2017-03
3549,1,2017-03
3551,1,2017-03
3565,1,2017-03
3573,1,2017-03
3586,1,2017-03
3621,1,2017-03
3623,1,2017-03
3643,1,2017-03
3659,1,2017-03
3660,1,2017-03
3665,1,2017-03
3673,1,2017-03
3676,1,2017-03
3679,1,2017-03
3705,1,2017-03
3706,1,2017-03
3719,1,2017-03
3738,1,2017-03
3740,1,2017-03
3741,1,2017-03
3747,1,2017-03
3775,1,2017-03
3782,1,2017-03
3805,1,2017-03
3811,1,2017-03
3815,1,2017-03
3831,2,2017-03
3832,1,2017-03
3834,1,2017-03
3843,1,2017-03
3851,1,2017-03
3874,1,2017-03
3891,1,2017-03
3895,2,2017-03
3919,1,2017-03
3937,1,2017-03
3955,1,2017-03
3990,1,2017-03
3998,1,2017-03
4010,1,2017-03
4036,1,2017-03
4040,1,2017-03
4058,1,2017-03
4060,1,2017-03
4070,1,2017-03
4090,1,2017-03
4105,1,2017-03
4118,1,2017-03
4122,1,2017-03
4132,1,2017-03
4167,1,2017-03
4209,1,2017-03
4218,1,2017-03
4225,1,2017-03
4228,1,2017-03
4229,1,2017-03
4246,1,2017-03
4253,1,2017-03
4257,1,2017-03
4260,1,2017-03
4278,1,2017-03
4287,1,2017-03
4295,1,2017-03
4296,1,2017-03
4305,1,2017-03
4308,1,2017-03
4312,1,2017-03
4317,1,2017-03
4321,1,2017-03
4334,1,2017-03
4337,1,2017-03
4344,1,2017-03
4350,1,2017-03
4355,1,2017-03
4358,1,2017-03
4365,1,2017-03
4392,1,2017-03
4402,1,2017-03
4403,1,2017-03
4407,1,2017-03
4408,1,2017-03
4412,1,2017-03
4420,1,2017-03
4429,1,2017-03
4436,1,2017-03
4438,1,2017-03
4441,1,2017-03
4442,2,2017-03
4450,1,2017-03
4458,1,2017-03
4479,1,2017-03
4497,1,2017-03
4503,1,2017-03
4517,1,2017-03
4525,1,2017-03
4552,1,2017-03
4555,1,2017-03
4567,1,2017-03
4570,1,2017-03
4602,1,2017-03
4618,1,2017-03
4619,2,2017-03
4637,1,2017-03
4647,1,2017-03
4655,1,2017-03
4683,1,2017-03
4692,1,2017-03
4706,1,2017-03
4712,1,2017-03
4719,1,2017-03
4720,1,2017-03
4726,1,2017-03
4741,1,2017-03
4769,1,2017-03
4775,3,2017-03
4776,1,2017-03
4798,1,2017-03
4800,2,2017-03
4815,1,2017-03
4825,1,2017-03
4839,1,2017-03
4857,1,2017-03
4869,1,2017-03
4894,1,2017-03
4910,1,2017-03
4926,1,2017-03
1,1,2017-04
12,1,2017-04
39,1,2017-04
40,1,2017-04
65,1,2017-04
80,1,2017-04
87,1,2017-04
98,1,2017-04
121,1,2017-04
128,1,2017-04
146,1,2017-04
148,1,2017-04
154,1,2017-04
187,1,2017-04
201,1,2017-04
204,1,2017-04
209,1,2017-04
217,2,2017-04
218,1,2017-04
237,1,2017-04
253,1,2017-04
